,Sang - Kunstner,link,starttidspunkt (i sek),Shoutout
90,Jesus og Josefine - Martin brygmann & Julie Berthelsen ,https://www.youtube.com/watch?v=Qm83-qTfxV8,10.0,
91,American Dragon Jake Long Season 1 Danish intro,https://www.youtube.com/watch?v=wrV1V_77NtY,0.0,
92,,,,
93,,,,
94,Ven som mig - Genee,https://www.youtube.com/watch?v=fK4dh3rJrFQ,19.0,
95,,,,
96,Jeg har set en rigtig dakkemand - T,https://www.youtube.com/watch?v=Y4CW0IAnBiU,0.0,
97,I just can't wait to be king - Lion King,https://www.youtube.com/watch?v=0bGjlvukgHU&feature=youtu.be,70.0,
98,Substituterne - Substituterne ,https://www.youtube.com/watch?v=bOP677cReKU,0.0,
99,Farvelsangen - Bjørnen i det blå hus,https://www.youtube.com/watch?v=HBMCQp88OF8,18.0,Teletubbies siger farvel
100,,,,
101,Sangpuljen: ,,,
102,Nøddepatruljen - Unknown,https://www.youtube.com/watch?v=VU6CA0Ji8F0,0.0,
103,En verden af liv - Løvernes konge,https://www.youtube.com/watch?v=tiMhhGm_sns,80.0,
104,Rap sjak,https://www.youtube.com/watch?v=SguB8-xquQo,0.0,
105,Dexter's Laboratory (Trap Remix) - Trap_music_now,https://www.youtube.com/watch?v=ZL4x7a2YeBo,15.0,
106,Winx club - Noget lort,https://www.youtube.com/watch?v=W8He0-GOlOo,0.0,
107,Wollah Wollah ingen bollah - Ali,https://www.youtube.com/watch?v=Xt-a7zwGZvs,0.0,
108,FAQ - Anden ,https://www.youtube.com/watch?v=g4hAtH_BCNU,6.0,
109,Yu-Gi-OH Dansk Intro - Yugi,https://www.youtube.com/watch?v=QV1Jz7VCiuQ,0.0,
110,Ozzy and Drix Danish intro,https://www.youtube.com/watch?v=tpB6qhwYNYc,0.0,
111,Hvem vil ikke gerne være kat? - Aristrocats,https://www.youtube.com/watch?v=FrSoOfMNwrI,198.0,
112,Smuk med havet som baggrund - Peter belli (Flyvende farmor),https://www.youtube.com/watch?v=IDFm68Rc4_k,17.0,
113,Hvis man har en ven - Mads og mikkel ,https://www.youtube.com/watch?v=wyEMhWZZfmo,5.0,
114,Pinky og Brain introen ,https://www.youtube.com/watch?v=zknZhc49Mnw,0.0,
115,"Powerpuff pigerne - Blomst, Bobbel & Bellis",https://www.youtube.com/watch?v=Rmti0m2-Bs4,0.0,
116,Historietimen intro,https://www.youtube.com/watch?v=cF0MPiI_YPY&list=PLVZFxulTtgNO64S-jrop7Sqw2Lq2Qan59&index=155,0.0,
117,F for får intro,https://www.youtube.com/watch?v=XFMqDeAhvzg,0.0,
118,Dyrepasser sang - Sebastian,https://www.youtube.com/watch?v=bnw3Dywvs2s&list=PLVZFxulTtgNO64S-jrop7Sqw2Lq2Qan59&index=194,6.0,
